Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SC1,23/09/01,Ayr,Clyde,2.0,1.0,H,2.0,0.0,H,2278.0,C. J. Melville,17.0,4.0,9.0,2.0,0.0,0.0,2.0,4.0,11.0,11.0,5.0,0.0,2.0,3.0,0.0,0.0,20.0,30.0,,,,1.65,3.3,3.7,1.67,3.6,4.0,1.67,3.5,4.0,1.62,3.6,4.33,1.66,3.75,3.8
SC1,26/02/02,Ayr,St Mirren,4.0,1.0,H,2.0,0.0,H,1932.0,"Orr, R.",16.0,7.0,6.0,3.0,0.0,1.0,5.0,4.0,8.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,3.4,3.05,2.0,3.1,2.8,1.91,3.25,3.4,1.95,3.5,3.0,2.0,3.6,2.875,2.1,3.4,2.8
SC1,10/11/01,Partick,Falkirk,5.0,1.0,H,1.0,0.0,H,4245.0,J Gilmour,14.0,8.0,7.0,3.0,0.0,0.0,2.0,8.0,14.0,15.0,6.0,1.0,0.0,2.0,1.0,1.0,25.0,45.0,1.67,3.4,4.25,1.6,3.4,3.9,,,,1.67,3.5,4.0,1.67,3.6,4.0,1.61,3.6,4.33
SC1,03/11/01,Clyde,Falkirk,1.0,1.0,D,1.0,0.0,H,2017.0,C. Hardie,7.0,9.0,3.0,2.0,1.0,0.0,5.0,5.0,16.0,18.0,3.0,1.0,2.0,1.0,0.0,0.0,20.0,10.0,2.35,3.15,2.6,2.3,3.1,2.3,,,,2.38,3.4,2.4,2.38,3.5,2.38,2.25,3.4,2.6
SC1,03/11/01,Raith Rvs,Ayr,1.0,1.0,D,1.0,0.0,H,1781.0,M. Doran,11.0,6.0,5.0,3.0,0.0,0.0,3.0,4.0,16.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,2.2,3.2,2.77,2.1,3.1,2.7,,,,2.25,3.4,2.5,2.38,3.5,2.38,2.1,3.4,2.8
SC1,24/11/01,Airdrie,Partick,1.0,0.0,H,1.0,0.0,H,4132.0,J. R. Underhill,10.0,9.0,3.0,2.0,2.0,0.0,8.0,5.0,13.0,19.0,4.0,8.0,3.0,3.0,0.0,0.0,30.0,30.0,2.2,3.1,2.85,2.1,3.1,2.7,,,,2.2,3.4,2.6,2.1,3.4,2.8,2.2,3.4,2.62
SC1,17/11/01,Falkirk,Airdrie,1.0,2.0,A,1.0,1.0,D,2586.0,I. M. Fyfe,13.0,11.0,4.0,4.0,0.0,1.0,6.0,2.0,22.0,28.0,3.0,3.0,3.0,5.0,0.0,0.0,30.0,50.0,2.65,3.25,2.25,2.3,3.1,2.3,,,,2.5,3.4,2.25,2.62,3.4,2.2,2.4,3.4,2.4
SC1,27/03/02,Clyde,Partick,2.0,1.0,H,0.0,0.0,D,2660.0,"Young, W. S. G.",5.0,5.0,4.0,2.0,1.0,0.0,6.0,3.0,19.0,20.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,10.0,2.65,3.4,2.2,2.5,3.1,2.2,2.5,3.5,2.25,2.875,3.5,2.0,2.625,3.4,2.2,2.6,3.4,2.25
SC1,08/12/01,Ayr,Airdrie,1.0,3.0,A,0.0,0.0,D,2656.0,T. M. McCurry,9.0,8.0,4.0,5.0,1.0,0.0,1.0,6.0,15.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,2.65,3.35,2.2,2.3,3.1,2.3,,,,2.5,3.5,2.25,2.6,3.4,2.25,2.62,3.4,2.2
SC1,04/08/01,Partick,St Mirren,3.0,3.0,D,2.0,2.0,D,6603.0,T. Brown,13.0,12.0,7.0,5.0,0.0,0.0,7.0,2.0,16.0,9.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,,,,2.5,3.1,2.2,2.5,3.5,2.25,2.5,3.5,2.25,2.6,3.5,2.2,2.62,3.5,2.2
