Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SC0,23/12/00,Rangers,Hibernian,1,0,H,0,0,D,49993,Kenny Clark,15.0,5.0,7.0,1.0,0.0,0.0,6.0,2.0,18.0,19.0,1,0,3,4,1,1,55,65,1.4,3.9,6.5,1.45,3.5,5.0,1.5,3.6,5.5,1.44,3.75,6.5,1.44,3.75,6.0
SC0,29/11/00,Hibernian,Celtic,0,0,D,0,0,D,14939,Stuart Dougal,4.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,26.0,17.0,2,3,0,3,0,0,0,30,4.0,3.4,1.75,2.9,2.9,2.1,3.5,3.5,1.8,4.0,3.25,1.8,4.0,3.4,1.72
SC0,02/01/01,St Mirren,Rangers,1,3,A,1,2,A,8142,Douglas McDonald,5.0,22.0,3.0,12.0,0.0,1.0,4.0,12.0,12.0,13.0,0,1,1,0,0,0,10,0,7.0,4.8,1.27,6.2,3.8,1.35,10.0,4.5,1.25,9.0,5.0,1.25,10.0,4.5,1.25
SC0,25/02/01,Celtic,Hibernian,1,1,D,1,0,H,60063,Stuart Dougal,14.0,6.0,6.0,3.0,0.0,0.0,11.0,6.0,9.0,18.0,4,1,1,3,0,0,10,30,1.4,3.7,6.6,1.4,3.6,5.5,,,,1.44,3.75,6.5,1.36,4.0,7.0
SC0,17/12/00,Dundee United,Rangers,1,1,D,1,1,D,10750,John Rowbotham,4.0,12.0,3.0,4.0,0.0,3.0,1.0,17.0,15.0,13.0,0,8,0,0,0,0,0,0,8.5,4.3,1.3,7.0,4.0,1.3,7.0,4.33,1.33,8.5,5.0,1.25,10.0,3.4,1.36
SC0,18/09/00,Dunfermline,Celtic,1,2,A,0,0,D,9493,Willie Young,2.0,11.0,1.0,3.0,0.0,2.0,3.0,8.0,19.0,16.0,0,2,1,5,0,0,10,50,7.0,3.7,1.33,5.0,3.5,1.45,7.0,4.0,1.35,7.5,4.0,1.36,8.0,3.25,1.44
SC0,03/12/00,Hearts,Rangers,0,1,A,0,1,A,16710,Stuart Dougal,11.0,9.0,5.0,4.0,0.0,0.0,5.0,6.0,15.0,18.0,1,2,1,6,0,2,10,110,5.0,3.4,1.61,3.8,3.1,1.7,5.5,3.6,1.5,5.5,3.5,1.53,5.5,3.6,1.5
SC0,07/04/01,Kilmarnock,Dunfermline,2,1,H,1,0,H,6529,Bobby Orr,7.0,5.0,4.0,2.0,0.0,0.0,4.0,4.0,8.0,10.0,4,10,0,0,0,0,0,0,1.9,3.15,3.7,1.9,2.9,3.2,,,,2.0,3.25,3.25,2.1,3.3,2.87
SC0,01/04/01,St Johnstone,Hibernian,2,0,H,0,0,D,6500,Hugh Dallas,19.0,14.0,10.0,5.0,0.0,1.0,3.0,2.0,14.0,14.0,3,4,1,2,0,0,10,20,3.1,3.15,2.1,3.0,2.9,2.0,3.5,3.4,1.83,3.25,3.25,2.0,3.2,3.2,2.0
SC0,07/04/01,Celtic,St Mirren,1,0,H,1,0,H,60440,John Underhill,25.0,6.0,8.0,0.0,2.0,0.0,11.0,2.0,8.0,9.0,2,2,0,1,0,0,0,10,1.15,6.0,12.5,1.1,7.0,14.0,,,,1.13,6.0,15.0,1.08,7.0,17.0
