Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
E2,13/04/02,Blackpool,Bristol City,5,1,H,4,0,H,9333.0,"Foster, D",9,8,6,2,0,0,2,8,10,6.0,4,4,0,3,0,0,0,30,3.55,3.4,1.85,,,,3.4,3.4,1.91,3.5,3.4,1.833,3.5,3.6,1.8,3.5,3.5,1.83
E2,10/11/01,Reading,Bristol City,3,2,H,2,1,H,14060.0,D. J. Gallagher,11,14,6,6,1,0,5,3,11,8.0,8,4,1,2,0,0,10,20,2.0,3.2,3.35,1.9,3.0,3.1,2.0,3.25,3.25,2.0,3.25,3.25,1.91,3.4,3.4,1.9,3.25,3.5
E2,30/03/02,Oldham,Cambridge,2,2,D,1,1,D,4957.0,"Ryan, M.",12,13,6,4,0,0,6,8,10,8.0,4,3,4,0,1,0,65,0,1.4,3.8,7.2,1.35,3.8,6.2,1.44,3.75,6.5,1.364,3.75,8.5,1.364,4.333,6.5,1.36,3.75,8.5
E2,09/10/01,Bournemouth,Wigan,2,0,H,1,0,H,2908.0,L. E. Cable,13,5,5,2,0,0,9,2,11,23.0,3,2,2,2,0,0,20,20,,,,2.2,3.0,2.6,2.25,3.2,2.75,,,,2.2,3.25,2.8,2.3,3.2,2.7
E2,20/11/01,Blackpool,Notts County,0,0,D,0,0,D,4118.0,M. A. Cooper,5,9,2,4,0,1,4,7,16,18.0,6,5,4,3,1,0,65,30,1.75,3.35,4.05,1.75,3.1,3.6,1.8,3.25,4.0,1.73,3.25,4.33,1.8,3.25,4.0,1.72,3.3,4.33
E2,25/08/01,Northampton,Notts County,0,2,A,0,1,A,4648.0,D. R. Crick,13,14,2,6,1,0,5,6,12,15.0,3,0,1,2,0,0,10,20,,,,2.4,2.9,2.4,2.5,3.2,2.5,,,,2.75,3.25,2.25,2.6,3.2,2.4
E2,21/12/01,Notts County,Swindon,3,1,H,2,1,H,4197.0,"Warren, M. R.",19,9,9,4,0,0,5,7,17,12.0,6,2,3,3,1,1,55,55,2.25,3.2,2.78,2.0,3.0,2.9,2.37,3.4,2.5,2.25,3.25,2.75,2.38,3.2,2.6,2.25,3.25,2.75
E2,02/02/02,Port Vale,Wycombe,1,1,D,1,0,H,4737.0,"Pike, M. S.",16,11,11,6,0,0,11,2,6,11.0,3,2,2,1,0,0,20,10,1.92,3.25,3.48,2.0,2.0,3.0,2.1,3.25,3.0,1.909,3.25,3.5,2.1,3.25,3.0,1.9,3.25,3.5
E2,01/12/01,Reading,Chesterfield,0,1,A,0,1,A,11209.0,A. Bates,15,4,8,2,0,0,8,2,5,12.0,6,2,0,3,0,0,0,30,1.45,3.6,6.8,1.4,3.6,5.5,1.33,4.33,7.5,1.44,3.6,7.0,1.4,4.0,6.5,1.44,3.6,7.0
E2,24/11/01,Bristol City,Blackpool,2,1,H,1,0,H,9876.0,K. D. Hill,12,10,6,6,1,0,11,5,18,12.0,5,7,2,2,0,0,20,20,1.8,3.3,3.9,1.75,3.2,3.5,1.73,3.5,4.0,1.8,3.25,4.0,1.8,3.4,3.75,1.8,3.2,4.0
