Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D2,01/04/02,Bochum,Ein Frankfurt,3,0,H,2,0,H,17800,"Frhlich, L.-M.",12.0,10.0,9.0,6.0,0.0,0.0,3.0,3.0,18.0,17.0,4.0,1.0,1,3,0,0,10,30,1.7,3.3,4.45,1.65,3.3,4.4,1.7,3.4,4.2,1.8,3.25,3.75,1.7,3.35,4.0
D2,14/09/01,Oberhausen,Mainz,1,3,A,0,2,A,3346,Stefan Trautmann,13.0,7.0,2.0,4.0,1.0,1.0,7.0,1.0,13.0,11.0,7.0,1.0,2,4,0,0,20,40,,,,2.1,2.9,2.9,,,,,,,2.15,3.15,2.8
D2,29/07/01,Aachen,Mainz,0,2,A,0,0,D,12000,Peter Sippel ,11.0,7.0,3.0,6.0,0.0,0.0,11.0,2.0,11.0,12.0,2.0,2.0,2,3,0,0,20,30,1.84,3.2,3.7,1.9,2.9,3.2,,,,1.91,3.2,3.6,1.8,3.1,3.8
D2,01/02/02,Reutlingen,Duisburg,0,1,A,0,1,A,6200,"Wack, F.-X.",9.0,4.0,5.0,1.0,2.0,1.0,4.0,0.0,16.0,15.0,0.0,0.0,1,4,0,0,10,40,1.82,3.3,3.62,,,,1.833,3.3,3.6,1.909,3.2,3.5,1.9,3.2,3.4
D2,05/08/01,Mainz,Unterhaching,2,0,H,2,0,H,6500,Peter Gagelmann ,13.0,6.0,6.0,1.0,0.0,0.0,3.0,4.0,18.0,10.0,3.0,0.0,2,2,0,0,20,20,,,,2.0,2.9,3.0,,,,2.5,3.0,2.6,2.35,3.0,2.65
D2,29/07/01,Karlsruhe,Schweinfurt,1,0,H,0,0,D,13000,Lutz Wagner ,11.0,8.0,6.0,4.0,0.0,0.0,7.0,1.0,12.0,13.0,2.0,5.0,2,3,0,0,20,30,1.62,3.3,4.8,1.6,3.2,4.2,,,,1.62,3.4,5.0,1.55,3.5,4.8
D2,28/09/01,Oberhausen,Karlsruhe,1,2,A,1,1,D,3000,Manuel Grfe ,17.0,7.0,9.0,5.0,1.0,0.0,5.0,1.0,9.0,11.0,3.0,2.0,2,2,0,0,20,20,,,,2.1,2.9,2.9,,,,,,,2.15,3.15,2.8
D2,26/10/01,Aachen,Bielefeld,3,2,H,2,1,H,16800,Michael Weiner,14.0,16.0,5.0,7.0,0.0,0.0,2.0,3.0,19.0,16.0,5.0,3.0,4,2,0,0,40,20,2.7,3.1,2.3,2.8,2.9,2.3,,,,2.7,3.0,2.38,2.85,3.25,2.1
D2,26/11/01,Schweinfurt,Ahlen,4,2,H,1,1,D,3250,Alfons Berg,12.0,9.0,9.0,6.0,0.0,0.0,2.0,7.0,17.0,14.0,4.0,1.0,1,1,0,0,10,10,2.45,3.1,2.52,2.4,3.0,2.6,,,,,,,2.45,3.15,2.4
D2,10/03/02,Ein Frankfurt,Union Berlin,2,2,D,1,0,H,16400,"Perl, G.",14.0,8.0,7.0,3.0,0.0,1.0,6.0,8.0,15.0,18.0,3.0,0.0,1,3,1,0,35,30,2.05,3.1,3.15,2.0,3.0,3.3,2.0,3.1,3.3,1.909,3.2,3.5,2.0,3.2,3.1
D2,06/02/02,Aachen,Ahlen,1,2,A,0,1,A,8458,"Margenberg, D.",6.0,7.0,3.0,3.0,0.0,0.0,1.0,1.0,17.0,21.0,2.0,2.0,3,1,0,0,30,10,2.0,3.15,3.25,2.1,3.0,3.1,2.1,3.1,3.1,,,,2.1,3.15,2.9
D2,28/04/02,Mannheim,Karlsruhe,2,1,H,1,0,H,8300,"Kemmling, U",9.0,10.0,5.0,3.0,1.0,0.0,1.0,3.0,18.0,15.0,3.0,0.0,4,3,0,1,40,55,1.92,3.0,3.65,2.1,2.5,3.6,,,,,,,,,
D2,27/10/01,Karlsruhe,Greuther Furth,4,2,H,2,0,H,10000,Christian Schling,,,,,,,,,,,,,3,4,0,0,30,40,2.25,3.0,2.85,2.3,2.8,2.9,,,,,,,2.25,3.15,2.65
D2,08/09/01,Greuther Furth,Mannheim,3,1,H,2,0,H,4730,Jrgen Aust,14.0,8.0,7.0,4.0,0.0,0.0,5.0,2.0,18.0,22.0,2.0,0.0,0,3,0,0,0,30,,,,2.1,2.9,2.9,,,,,,,2.0,3.1,3.15
D2,05/02/02,Bielefeld,Schweinfurt,2,1,H,2,0,H,7469,"Aust, J",12.0,7.0,8.0,3.0,0.0,0.0,2.0,0.0,12.0,5.0,0.0,0.0,1,4,0,0,10,40,1.37,4.0,7.0,1.35,4.0,7.0,1.364,4.0,7.0,,,,1.4,3.6,7.0
D2,22/04/02,Bielefeld,Hannover,3,2,H,2,1,H,19000,"Gagelmann, P",11.0,9.0,5.0,6.0,0.0,1.0,4.0,3.0,145.0,21.0,5.0,1.0,4,2,0,0,40,20,1.65,3.6,3.95,1.65,3.2,3.8,,,,1.727,3.4,4.0,1.6,3.5,4.4
D2,07/12/01,Duisburg,Hannover,2,6,A,1,4,A,8005,Jrgen Aust,8.0,17.0,3.0,9.0,1.0,0.0,9.0,3.0,12.0,5.0,4.0,4.0,3,3,0,0,30,30,2.4,3.1,2.6,2.5,3.0,2.5,2.6,3.1,2.4,2.7,2.9,2.4,2.6,3.0,2.4
D2,26/10/01,Mainz,Schweinfurt,4,1,H,2,1,H,9800,Markus Schmidt,15.0,3.0,7.0,2.0,0.0,0.0,11.0,0.0,7.0,16.0,1.0,2.0,1,2,0,0,10,20,1.45,3.7,6.0,1.45,3.8,5.4,,,,,,,1.45,3.7,5.6
