Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA
D2,02/12/00,Osnabruck,Reutlingen,0,2,A,0,1,A,7600.0,Gnter Perl ,,,,,,,,,,,,,5.0,3.0,1.0,0.0,75.0,30.0,2.4,3.0,2.7,2.3,2.9,2.5,2.45,2.8,2.65
D2,01/10/00,Hannover,Reutlingen,5,1,H,2,1,H,11352.0,Thorsten Kinhfer ,,,,,,,,,,,,,4.0,2.0,0.0,0.0,40.0,20.0,1.71,3.4,3.85,1.7,3.1,3.8,1.75,3.2,3.9
D2,16/04/01,Osnabruck,Nurnberg,2,1,H,1,1,D,16100.0,Mike Pickel ,8.0,3.0,1.0,3.0,0.0,0.0,4.0,0.0,15.0,16.0,8.0,0.0,1.0,2.0,0.0,1.0,10.0,45.0,2.85,3.0,2.25,2.3,2.9,2.5,2.65,3.15,2.25
D2,04/03/01,Reutlingen,Hannover,3,0,H,2,0,H,6209.0,Jrgen Aust ,11.0,13.0,9.0,3.0,0.0,1.0,8.0,8.0,9.0,10.0,0.0,2.0,1.0,4.0,0.0,0.0,10.0,40.0,1.8,3.1,3.9,1.9,3.0,3.1,1.7,3.3,4.0
D2,25/02/01,Reutlingen,Mannheim,1,1,D,0,1,A,7100.0,Wolfgang Stark ,9.0,11.0,3.0,2.0,1.0,1.0,1.0,4.0,20.0,16.0,0.0,2.0,1.0,5.0,1.0,1.0,35.0,75.0,1.75,3.25,3.8,,,,1.85,3.15,3.6
D2,14/10/00,Ahlen,Bielefeld,1,1,D,1,0,H,9050.0,Volker Wezel ,,,,,,,,,,,,,2.0,2.0,0.0,0.0,20.0,20.0,3.5,3.3,1.8,3.0,2.9,2.0,3.4,3.0,1.95
D2,26/11/00,Nurnberg,Oberhausen,2,1,H,1,0,H,26000.0,Jrg Kessler ,,,,,,,,,,,,,1.0,2.0,0.0,0.0,10.0,20.0,1.4,3.5,6.0,1.5,3.4,4.7,1.35,3.75,7.5
D2,31/03/01,Bielefeld,Reutlingen,3,1,H,3,0,H,9205.0,Franz Minkowski ,22.0,10.0,14.0,4.0,0.0,0.0,6.0,4.0,6.0,17.0,2.0,2.0,2.0,3.0,0.0,1.0,20.0,55.0,2.05,3.0,3.25,1.9,2.9,3.2,2.0,2.9,3.4
D2,24/11/00,Aachen,Hannover,0,4,A,0,3,A,14200.0,Markus Schmidt ,,,,,,,,,,,,,2.0,4.0,1.0,1.0,45.0,65.0,2.25,3.1,2.85,2.0,2.9,3.0,2.2,2.9,2.95
D2,09/03/01,Duisburg,Mannheim,0,1,A,0,0,D,6060.0,Peter Sippel ,12.0,5.0,7.0,2.0,0.0,0.0,4.0,3.0,15.0,19.0,0.0,1.0,2.0,0.0,0.0,0.0,20.0,0.0,1.84,3.2,3.6,,,,1.85,3.15,3.55
D2,16/02/01,Mannheim,Hannover,2,1,H,1,0,H,6900.0,Lutz Michael Frhlich ,10.0,7.0,3.0,3.0,0.0,1.0,2.0,3.0,14.0,12.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,20.0,1.95,3.1,3.15,,,,2.0,3.0,3.3
D2,13/05/01,Greuther Furth,M'gladbach,2,2,D,0,2,A,15000.0,Michael Weiner ,16.0,3.0,6.0,2.0,1.0,0.0,6.0,2.0,18.0,6.0,1.0,4.0,2.0,2.0,0.0,0.0,20.0,20.0,2.27,3.1,2.75,1.9,2.9,3.2,2.25,2.9,2.85
D2,18/02/01,Osnabruck,Saarbrucken,2,2,D,1,1,D,14100.0,Thorsten Kinhfer ,7.0,4.0,2.0,0.0,1.0,0.0,2.0,2.0,26.0,16.0,4.0,2.0,1.0,4.0,0.0,2.0,10.0,90.0,2.15,3.05,2.9,2.3,2.9,2.5,2.2,3.0,2.85
D2,28/01/01,Duisburg,Oberhausen,1,2,A,0,0,D,12000.0,Hermann Albrecht ,9.0,11.0,4.0,2.0,0.0,0.0,8.0,6.0,16.0,12.0,6.0,3.0,3.0,2.0,0.0,0.0,30.0,20.0,1.65,3.4,4.6,1.8,3.0,3.5,1.8,3.0,4.0
D2,09/09/00,Nurnberg,Reutlingen,2,0,H,2,0,H,,Lutz Wagner ,,,,,,,,,,,,,1.0,2.0,0.0,0.0,10.0,20.0,1.5,3.4,5.4,1.4,3.6,5.5,1.4,3.6,7.0
D2,22/04/01,Ahlen,Osnabruck,1,0,H,1,0,H,10600.0,Jrgen Aust ,8.0,10.0,3.0,5.0,0.0,1.0,9.0,5.0,16.0,16.0,2.0,4.0,2.0,3.0,0.0,1.0,20.0,55.0,1.62,3.4,4.55,1.7,3.1,3.8,1.7,3.2,4.2
D2,21/10/00,Hannover,Stuttgarter K,1,0,H,0,0,D,12331.0,Jrgen Kreyer ,,,,,,,,,,,,,2.0,2.0,1.0,0.0,45.0,20.0,1.5,3.55,5.2,1.45,3.5,5.0,1.5,3.45,5.5
D2,13/08/00,Reutlingen,Mainz,3,2,H,1,1,D,8000.0,Uwe Kemmling ,,,,,,,,,,,,,2.0,4.0,0.0,0.0,20.0,40.0,2.3,3.2,2.55,1.9,2.9,3.2,2.2,3.0,2.9
D2,17/02/01,Oberhausen,Greuther Furth,2,2,D,0,1,A,3054.0,Peter Lange ,11.0,8.0,4.0,3.0,0.0,0.0,6.0,3.0,16.0,22.0,4.0,3.0,2.0,2.0,0.0,0.0,20.0,20.0,1.85,3.15,3.55,1.9,2.8,3.3,2.0,3.1,3.2
D2,13/11/00,Nurnberg,Osnabruck,3,1,H,2,0,H,10100.0,Peter Gagelmann ,,,,,,,,,,,,,3.0,1.0,0.0,0.0,30.0,10.0,1.25,4.6,8.0,1.3,4.0,7.0,1.25,4.5,8.5
D2,04/11/00,Hannover,Duisburg,0,2,A,0,0,D,13737.0,Stefan Kammerer ,,,,,,,,,,,,,2.0,3.0,0.0,0.0,20.0,30.0,1.65,3.2,4.8,1.8,3.0,3.5,1.7,3.25,4.1
D2,13/05/01,Saarbrucken,Duisburg,1,0,H,0,0,D,3700.0,Michael Weiner ,5.0,9.0,2.0,2.0,1.0,0.0,2.0,7.0,12.0,12.0,3.0,5.0,1.0,0.0,1.0,0.0,35.0,0.0,1.9,3.15,3.5,1.85,3.0,3.3,1.8,3.3,3.55
D2,06/04/01,Nurnberg,Saarbrucken,0,1,A,0,0,D,17100.0,Babak Rafati ,10.0,8.0,6.0,4.0,0.0,0.0,6.0,1.0,13.0,10.0,5.0,4.0,1.0,1.0,0.0,0.0,10.0,10.0,1.37,3.85,7.0,1.5,3.4,4.7,1.35,4.0,6.8
D2,02/10/00,Bielefeld,Nurnberg,1,2,A,1,0,H,13000.0,Florian Meyer ,,,,,,,,,,,,,2.0,2.0,0.0,0.0,20.0,20.0,2.2,3.0,2.9,2.0,2.9,3.0,2.25,2.85,2.9
D2,09/09/00,Ahlen,Mannheim,1,2,A,1,0,H,,Michael Pickel ,,,,,,,,,,,,,3.0,3.0,0.0,0.0,30.0,30.0,2.25,3.15,2.6,,,,2.3,2.9,2.8
D2,06/09/00,Mannheim,Nurnberg,1,4,A,0,2,A,8100.0,Thorsten Koop ,,,,,,,,,,,,,2.0,4.0,0.0,0.0,20.0,40.0,2.55,3.1,2.35,,,,2.55,2.85,2.5
D2,23/10/00,M'gladbach,Ahlen,1,2,A,0,0,D,15500.0,Stefan Kammerer ,,,,,,,,,,,,,0.0,4.0,0.0,0.0,0.0,40.0,1.35,3.55,5.1,1.35,3.8,6.2,1.3,4.0,8.5
D2,16/12/00,Mainz,Reutlingen,1,1,D,0,0,D,4115.0,Kai Voss ,,,,,,,,,,,,,5.0,2.0,0.0,0.0,50.0,20.0,2.2,3.1,2.9,2.1,2.9,2.9,2.2,2.9,2.95
D2,11/03/01,Stuttgarter K,Reutlingen,1,0,H,1,0,H,8751.0,Stefan Kammerer ,12.0,6.0,5.0,3.0,2.0,0.0,3.0,12.0,15.0,15.0,1.0,0.0,2.0,3.0,0.0,0.0,20.0,30.0,2.5,2.85,2.65,2.45,2.8,2.45,2.4,3.0,2.55
D2,18/03/01,Reutlingen,Duisburg,0,1,A,0,1,A,6157.0,Michael Weiner ,15.0,9.0,2.0,4.0,0.0,0.0,6.0,1.0,16.0,10.0,1.0,1.0,3.0,4.0,0.0,0.0,30.0,40.0,1.87,3.1,3.7,1.8,3.0,3.5,1.75,3.25,3.85
D2,26/01/01,Hannover,Chemnitz,0,0,D,0,0,D,9262.0,Dirk Margenberg ,18.0,13.0,8.0,7.0,0.0,0.0,12.0,1.0,31.0,19.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,1.35,4.2,7.0,1.35,3.8,6.2,1.35,3.75,7.5
D2,30/09/00,Stuttgarter K,Mannheim,2,2,D,1,1,D,4532.0,Gnter Perl ,,,,,,,,,,,,,2.0,3.0,0.0,1.0,20.0,55.0,,,,,,,2.3,3.0,2.7
D2,16/09/00,Reutlingen,Ahlen,5,1,H,1,1,D,5850.0,Babak Rafati ,,,,,,,,,,,,,1.0,4.0,0.0,0.0,10.0,40.0,1.66,3.15,4.4,1.55,3.3,4.5,1.6,3.3,4.8
D2,15/04/01,M'gladbach,Stuttgarter K,1,0,H,0,0,D,22450.0,Florian Meyer ,16.0,3.0,9.0,1.0,0.0,0.0,10.0,2.0,17.0,13.0,2.0,2.0,2.0,2.0,0.0,0.0,20.0,20.0,1.4,3.8,6.6,1.45,3.5,5.0,1.4,3.7,6.5
