Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
E3,23/11/02,Leyton Orient,Hartlepool,1,2,A,0,1,A,C Wilkes,12.0,13.0,4.0,7.0,7.0,13.0,3.0,6.0,0.0,1.0,0.0,0.0,2.875,3.2,2.2,2.8,3.3,2.25,2.6,3.0,2.2,3.0,3.2,2.1,2.8,3.25,2.2,2.8,3.25,2.2,2.75,3.2,2.25
E3,28/03/03,Swansea,Oxford,3,2,H,1,1,D,R Olivier,8.0,4.0,5.0,2.0,11.0,17.0,7.0,5.0,4.0,4.0,0.0,0.0,2.5,3.2,2.5,2.6,3.2,2.4,2.35,3.0,2.35,2.6,3.2,2.38,2.6,3.2,2.4,2.6,3.2,2.4,2.62,3.1,2.37
E3,18/03/03,Southend,Swansea,0,2,A,0,0,D,S Tomlin,14.0,8.0,4.0,4.0,16.0,20.0,5.0,5.0,1.0,1.0,0.0,1.0,1.8,3.25,4.0,1.9,3.3,3.65,1.9,3.1,3.0,1.83,3.2,3.75,1.83,3.4,3.6,1.83,3.4,3.6,2.0,3.2,3.2
E3,21/09/02,Carlisle,Boston,4,2,H,4,1,H,E Ilderton,10.0,8.0,7.0,4.0,10.0,15.0,5.0,3.0,0.0,0.0,0.0,0.0,2.2,3.25,2.8,,,,2.2,3.0,2.6,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.25,3.2,2.75
E3,25/01/03,Torquay,Darlington,3,1,H,3,1,H,P Danson,20.0,10.0,7.0,6.0,11.0,12.0,5.0,3.0,2.0,1.0,0.0,1.0,1.8,3.25,4.0,1.8,3.35,4.0,1.75,3.2,3.5,1.73,3.2,4.33,1.73,3.25,4.33,1.73,3.25,4.33,1.8,3.3,3.75
E3,21/12/02,Wrexham,Kidderminster,0,2,A,0,1,A,S Mathieson,8.0,11.0,8.0,10.0,7.0,11.0,6.0,6.0,1.0,2.0,1.0,0.0,1.727,3.5,4.0,1.8,3.3,3.9,1.8,3.1,3.4,1.83,3.25,3.75,1.73,3.4,4.0,1.75,3.4,4.0,1.83,3.3,3.6
E3,15/03/03,Swansea,Carlisle,1,2,A,0,0,D,M Warren,5.0,6.0,3.0,1.0,10.0,18.0,5.0,6.0,1.0,4.0,1.0,0.0,2.1,3.25,3.0,2.05,3.25,3.25,2.1,3.0,2.8,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0
E3,15/02/03,Bristol Rvs,Bournemouth,0,0,D,0,0,D,S Mathieson,9.0,9.0,5.0,3.0,11.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,2.625,3.2,2.375,2.67,3.2,2.4,2.4,3.0,2.3,2.5,3.25,2.4,2.62,3.2,2.38,2.7,3.2,2.3,2.6,3.1,2.4
E3,24/08/02,Hull,Bury,1,1,D,1,0,H,M Ryan,15.0,11.0,7.0,5.0,3.0,14.0,10.0,5.0,2.0,3.0,0.0,0.0,1.667,3.4,4.5,1.72,3.45,4.65,1.65,3.2,3.9,1.615,3.5,4.5,1.67,3.4,4.5,1.615,3.4,5.0,1.61,3.3,5.0
E3,22/02/03,Boston,Kidderminster,3,0,H,2,0,H,E L Ilderton,6.0,3.0,4.0,1.0,10.0,16.0,5.0,6.0,0.0,1.0,0.0,0.0,2.375,3.2,2.625,2.47,3.25,2.55,2.3,3.0,2.4,2.25,3.4,2.62,2.38,3.2,2.62,2.4,3.2,2.6,2.37,3.1,2.62
