Country,League,Season,Match_Date,Home_Team,Away_Team,Full_Time_Home_Team_Goals,Full_Time_Away_Team_Goals,Full_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Shots_on_Target,Away_Team_Shots_on_Target,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Away_Team_Red_Cards,DayOfWeek,is_Weekend,Home_Team_Fouls_Committed,Away_Team_Fouls_Committed,over_2.5,Average_home_win_odds,Average_away_win_odds,Average_draw_odds,Average_over_2.5_goals_odds,Average_under_2.5_goals_odds,Average_Asian_Handicap_Home_odds,Average_Asian_Handicap_Away_odds,Close_home_win_odds,Close_draw_odds,Close_away_win_odds,has_favorite,Time_kick_off_bin
spain,2,1718,2017-09-23,Reus Deportiu,Osasuna,0.0,0.0,D,10.0,12.0,3.0,3.0,2.0,6.0,0.0,3.0,0.0,0.0,5.0,1,18.0,14.0,0,2.65375,2.8575,2.9387499999999998,2.58,1.46,0.945,1.95,2.86,2.95,2.97,0,Afternoon
spain,2,1718,2017-09-23,Granada,Cordoba,3.0,1.0,H,9.0,17.0,6.0,6.0,4.0,4.0,2.0,3.0,0.0,0.0,5.0,1,17.0,11.0,1,2.15875,3.445,3.18375,2.11,1.69,0.805,1.98,2.52,3.23,3.13,0,Afternoon
spain,2,1718,2017-09-24,Cadiz,Numancia,0.0,0.0,D,8.0,8.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,0.0,6.0,1,14.0,18.0,0,2.07875,3.91625,3.04125,2.4,1.53,0.77,2.06,2.09,3.18,4.29,0,Afternoon
spain,2,1718,2017-09-24,Albacete,Oviedo,2.0,1.0,H,7.0,11.0,3.0,1.0,7.0,6.0,4.0,3.0,0.0,0.0,6.0,1,21.0,15.0,1,3.01125,2.4799999999999995,3.02625,2.33,1.56,1.0,2.12,3.06,3.15,2.63,0,Afternoon
spain,2,1718,2017-09-24,Vallecano,Leonesa,3.0,1.0,H,17.0,2.0,4.0,1.0,7.0,2.0,1.0,3.0,0.0,0.0,6.0,1,16.0,15.0,1,1.7925,4.44375,3.5375,1.83,1.94,0.65,2.04,1.67,3.92,5.86,0,Afternoon
spain,2,1718,2017-09-24,Huesca,Valladolid,1.0,0.0,H,13.0,13.0,3.0,3.0,9.0,6.0,3.0,4.0,0.0,1.0,6.0,1,21.0,14.0,0,2.23375,3.2725,3.1925,1.92,1.84,0.85,1.9,2.44,3.15,3.29,0,Afternoon
spain,2,1718,2017-09-24,Zaragoza,Gimnastic,1.0,1.0,D,6.0,20.0,3.0,9.0,2.0,5.0,5.0,7.0,1.0,0.0,6.0,1,6.0,17.0,0,1.7137499999999999,5.44875,3.36125,2.26,1.59,0.595,1.9,1.74,3.71,5.58,1,Afternoon
spain,2,1718,2017-09-25,Barcelona B,Lugo,1.0,2.0,A,8.0,16.0,5.0,4.0,5.0,7.0,1.0,3.0,0.0,0.0,0.0,0,18.0,20.0,1,1.9542857142857142,3.9285714285714284,3.3528571428571428,1.92,1.85,0.72,1.89,2.14,3.49,3.67,0,Afternoon
spain,2,1718,2017-09-29,Leonesa,Almeria,0.0,0.0,D,14.0,7.0,2.0,1.0,7.0,1.0,6.0,6.0,1.0,1.0,4.0,0,14.0,21.0,0,2.13625,3.415,3.255,2.02,1.75,0.79,2.01,2.54,3.36,3.0,0,Afternoon
spain,2,1718,2017-09-30,Valladolid,Cordoba,4.0,1.0,H,18.0,10.0,9.0,4.0,4.0,3.0,1.0,3.0,0.0,1.0,5.0,1,18.0,13.0,1,1.8875000000000002,4.164999999999999,3.35375,2.08,1.71,0.7,1.94,1.83,3.74,4.76,0,Afternoon
spain,2,1718,2017-09-30,Numancia,Albacete,5.0,1.0,H,15.0,10.0,7.0,4.0,4.0,8.0,1.0,5.0,0.0,0.0,5.0,1,7.0,15.0,1,1.81,4.6274999999999995,3.3475,2.32,1.56,0.655,2.03,1.81,3.56,5.19,0,Afternoon
spain,2,1718,2017-09-30,Lorca,Cadiz,3.0,0.0,H,11.0,15.0,7.0,4.0,3.0,8.0,2.0,4.0,0.0,0.0,5.0,1,13.0,14.0,1,2.77875,2.6525,3.01,2.41,1.52,0.975,1.88,3.03,3.07,2.71,0,Afternoon
spain,2,1718,2017-10-01,Lugo,Tenerife,1.0,0.0,H,8.0,9.0,4.0,3.0,5.0,7.0,3.0,4.0,0.0,0.0,6.0,1,29.0,13.0,0,2.57125,2.91125,2.9825,2.52,1.48,0.9,2.05,2.95,3.07,2.77,0,Afternoon
spain,2,1718,2017-10-01,Alcorcon,Granada,1.0,2.0,A,13.0,7.0,1.0,5.0,8.0,4.0,4.0,3.0,0.0,0.0,6.0,1,16.0,11.0,1,2.24125,3.42625,3.0300000000000002,2.42,1.52,0.83,1.93,2.12,3.22,4.13,0,Afternoon
spain,2,1718,2017-10-01,Osasuna,Sp Gijon,2.0,0.0,H,17.0,6.0,9.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,6.0,1,11.0,18.0,0,2.20125,3.4037499999999996,3.11625,2.27,1.59,0.81,1.96,2.22,3.24,3.77,0,Afternoon
spain,2,1718,2017-10-01,Sevilla B,Reus Deportiu,0.0,1.0,A,12.0,6.0,2.0,1.0,6.0,3.0,3.0,3.0,0.0,1.0,6.0,1,9.0,15.0,0,2.4575,3.08125,2.975,2.56,1.47,0.905,1.79,2.17,3.17,3.99,0,Afternoon
spain,2,1718,2017-10-02,Oviedo,Zaragoza,2.0,2.0,D,7.0,10.0,5.0,5.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,0,19.0,13.0,1,1.8675000000000002,4.501250000000001,3.2262500000000003,2.38,1.54,0.685,1.96,1.9,3.48,4.72,0,Afternoon
spain,2,1718,2017-10-07,Almeria,Huesca,0.0,3.0,A,9.0,20.0,2.0,8.0,5.0,8.0,0.0,2.0,0.0,0.0,5.0,1,13.0,12.0,1,2.25875,3.32625,3.11375,2.14,1.67,0.85,1.89,2.31,3.1,3.7,0,Afternoon
spain,2,1718,2017-10-07,Tenerife,Gimnastic,2.0,0.0,H,22.0,6.0,7.0,2.0,11.0,1.0,3.0,6.0,0.0,1.0,5.0,1,14.0,15.0,0,1.6125,5.7925,3.66625,2.02,1.76,0.52,2.06,1.73,3.54,6.08,1,Afternoon
spain,2,1718,2017-10-07,Cadiz,Osasuna,0.0,2.0,A,10.0,6.0,2.0,3.0,8.0,2.0,3.0,2.0,0.0,0.0,5.0,1,17.0,20.0,0,2.1675,3.60875,3.04125,2.43,1.52,0.825,1.94,2.32,3.07,3.75,0,Afternoon
spain,2,1718,2017-10-07,Reus Deportiu,Leonesa,1.0,1.0,D,11.0,7.0,2.0,3.0,4.0,4.0,1.0,4.0,0.0,0.0,5.0,1,19.0,12.0,0,2.2712499999999998,3.3874999999999997,3.0387500000000003,2.39,1.54,0.85,1.89,2.31,3.04,3.78,0,Afternoon
spain,2,1718,2017-10-07,Sp Gijon,Sevilla B,3.0,0.0,H,13.0,9.0,7.0,2.0,6.0,2.0,1.0,3.0,0.0,0.0,5.0,1,8.0,16.0,1,1.6042857142857143,5.88125,3.66625,2.11,1.69,0.525,2.05,1.71,3.53,6.4,1,Afternoon
spain,2,1718,2017-10-08,Cordoba,Alcorcon,3.0,0.0,H,12.0,7.0,4.0,5.0,4.0,1.0,1.0,2.0,0.0,1.0,6.0,1,24.0,9.0,1,2.10625,3.74375,3.075,2.37,1.55,0.775,2.05,2.25,3.11,3.86,0,Afternoon
spain,2,1718,2017-10-08,Vallecano,Valladolid,4.0,1.0,H,15.0,6.0,5.0,3.0,5.0,5.0,1.0,5.0,0.0,1.0,6.0,1,19.0,15.0,1,2.1499999999999995,3.3912500000000003,3.2725,1.9,1.87,0.815,1.97,2.29,3.3,3.5,0,Afternoon
spain,2,1718,2017-10-08,Albacete,Lorca,2.0,1.0,H,11.0,12.0,6.0,4.0,7.0,3.0,6.0,4.0,0.0,0.0,6.0,1,26.0,21.0,1,2.0725000000000002,3.8475,3.0912499999999996,2.27,1.59,0.76,2.09,2.21,3.19,3.86,0,Afternoon
spain,2,1718,2017-10-08,Granada,Lugo,2.0,0.0,H,15.0,7.0,5.0,2.0,8.0,3.0,2.0,2.0,1.0,0.0,6.0,1,18.0,16.0,0,1.96625,4.09375,3.2012500000000004,2.2,1.63,0.73,1.88,1.92,3.35,4.88,0,Afternoon
