Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA
SC2,23/03/02,Stenhousemuir,Queen of Sth,1.0,4.0,A,1.0,3.0,A,612.0,"Thomson, G",9.0,15.0,3.0,10.0,0.0,1.0,3.0,6.0,10.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.4,2.15,2.62,3.5,2.2,3.0,3.4,2.0,,,
SC2,13/04/02,Stenhousemuir,Morton,2.0,3.0,A,0.0,1.0,A,518.0,"Murray, C",14.0,12.0,7.0,6.0,0.0,0.0,11.0,5.0,9.0,16.0,4.0,6.0,1.0,0.0,0.0,0.0,10.0,0.0,1.85,3.5,3.5,1.91,3.5,3.2,2.1,3.5,2.75,1.8,4.0,3.1
SC2,15/09/01,Alloa,Clydebank,1.0,0.0,H,1.0,0.0,H,626.0,J. D. K. Smith,6.0,11.0,3.0,4.0,0.0,0.0,6.0,6.0,12.0,13.0,3.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,,,,,,,2.1,3.5,2.75,2.2,3.5,2.62
SC2,02/03/02,Alloa,Cowdenbeath,0.0,0.0,D,0.0,0.0,D,560.0,"Frickleton, I. G.",12.0,7.0,9.0,4.0,0.0,0.0,6.0,4.0,6.0,19.0,0.0,0.0,2.0,3.0,0.0,1.0,20.0,55.0,1.71,3.6,3.8,1.61,4.0,4.0,1.615,3.6,4.333,1.72,3.6,3.75
SC2,15/12/01,Morton,Hamilton,1.0,1.0,D,0.0,0.0,D,1145.0,A. C. Gemmill,8.0,11.0,5.0,6.0,0.0,0.0,5.0,6.0,13.0,14.0,5.0,8.0,1.0,3.0,0.0,0.0,10.0,30.0,2.35,3.2,2.55,,,,2.38,3.5,2.38,2.37,3.5,2.37
SC2,24/11/01,Stranraer,Hamilton,2.0,1.0,H,2.0,1.0,H,412.0,H. Dallas,8.0,16.0,6.0,7.0,1.0,3.0,7.0,6.0,6.0,16.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,30.0,1.9,3.4,3.25,,,,1.91,3.75,3.0,1.9,3.5,3.2
SC2,11/08/01,Cowdenbeath,Berwick,2.0,1.0,H,1.0,1.0,D,322.0,G. P. Mitchell,11.0,11.0,4.0,1.0,0.0,0.0,5.0,7.0,15.0,12.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,10.0,,,,2.25,3.5,2.5,2.5,3.6,2.25,2.5,3.3,2.37
SC2,10/11/01,Berwick,Stranraer,2.0,2.0,D,1.0,1.0,D,382.0,D. G. McDonald,12.0,9.0,5.0,6.0,0.0,0.0,6.0,1.0,21.0,10.0,3.0,1.0,2.0,0.0,0.0,0.0,20.0,0.0,2.55,3.3,2.3,,,,2.6,3.5,2.2,2.5,3.5,2.25
SC2,20/04/02,Stranraer,Stenhousemuir,1.0,0.0,H,0.0,0.0,D,240.0,"Mack, E. D.",12.0,5.0,6.0,3.0,0.0,1.0,5.0,3.0,9.0,9.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,1.85,3.55,3.4,1.8,3.5,3.5,1.833,3.4,3.5,1.9,3.6,3.1
SC2,02/02/02,Queen of Sth,Alloa,0.0,1.0,A,0.0,1.0,A,1374.0,"Hardie, C.",7.0,7.0,2.0,3.0,0.0,1.0,6.0,5.0,14.0,14.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,2.1,3.45,2.75,2.1,3.5,2.75,2.2,3.4,2.625,2.2,3.5,2.6
